6.03515625,-1.20703125,-1.0
6.03515625,-1.005859375,-1.0
6.236328125,-0.603515625,-1.0
6.03515625,-0.40234375,-1.0
6.03515625,-0.201171875,-1.0
6.236328125,0.0,-1.0
6.03515625,0.201171875,-1.0
5.6328125,-2.212890625,0.0
5.6328125,-2.01171875,0.0
5.833984375,-1.810546875,0.0
5.6328125,-1.609375,0.0
5.6328125,-1.408203125,0.0
5.6328125,-1.20703125,0.0
5.833984375,-1.005859375,0.0
5.6328125,-0.8046875,0.0
5.6328125,-0.603515625,0.0
5.833984375,-0.40234375,0.0
5.833984375,-0.201171875,0.0
5.833984375,0.0,0.0
5.833984375,0.201171875,0.0
5.833984375,0.40234375,0.0
6.03515625,0.603515625,0.0
5.029296875,-2.01171875,1.0
5.029296875,-1.810546875,1.0
5.23046875,-1.609375,1.0
5.029296875,-1.408203125,1.0
5.029296875,-1.20703125,1.0
5.23046875,-1.005859375,1.0
5.23046875,-0.8046875,1.0
5.029296875,-0.603515625,1.0
5.431640625,-0.40234375,1.0
5.23046875,-0.201171875,1.0
5.431640625,0.0,1.0
4.42578125,-3.017578125,2.0
4.224609375,-2.81640625,2.0
4.42578125,-2.615234375,2.0
4.42578125,-2.4140625,2.0
4.42578125,-2.212890625,2.0
4.42578125,-2.01171875,2.0
4.626953125,-1.810546875,2.0
4.626953125,-1.609375,2.0
4.828125,-1.408203125,2.0
4.828125,-1.20703125,2.0
3.62109375,-3.419921875,3.0
3.822265625,-3.21875,3.0
3.822265625,-3.017578125,3.0
3.822265625,-2.81640625,3.0
3.822265625,-2.615234375,3.0
3.822265625,-2.4140625,3.0
3.822265625,-2.212890625,3.0
3.822265625,-2.01171875,3.0
3.822265625,-1.810546875,3.0
3.822265625,-1.609375,3.0
2.615234375,-3.62109375,4.0
2.81640625,-3.419921875,4.0
2.615234375,-3.21875,4.0
2.615234375,-3.017578125,4.0
-0.40234375,-4.224609375,6.0
-0.201171875,-4.0234375,6.0
0.0,-3.822265625,6.0
0.201171875,-3.62109375,6.0
0.40234375,-3.419921875,6.0
-4.0234375,-3.419921875,10.0
-3.822265625,-3.21875,10.0
